gesture,participant_id,session_id,repetition_id,recording_id,window_id,segment_id,source_file,n_muestras,fs_hz,duracion_s,conjunto
abajo,01,01,4,abajo_p01_s01_r004,2,abajo_p01_s01_r004_w02,abajo/participante_01_sesion_01_rep_004.csv,47,31.25,1.504,entrenamiento
abajo,01,01,5,abajo_p01_s01_r005,0,abajo_p01_s01_r005_w00,abajo/participante_01_sesion_01_rep_005.csv,47,31.25,1.504,entrenamiento
abajo,01,01,5,abajo_p01_s01_r005,1,abajo_p01_s01_r005_w01,abajo/participante_01_sesion_01_rep_005.csv,47,31.25,1.504,entrenamiento
abajo,01,01,5,abajo_p01_s01_r005,2,abajo_p01_s01_r005_w02,abajo/participante_01_sesion_01_rep_005.csv,47,31.25,1.504,entrenamiento
abajo,01,01,6,abajo_p01_s01_r006,0,abajo_p01_s01_r006_w00,abajo/participante_01_sesion_01_rep_006.csv,47,31.25,1.504,prueba
abajo,01,01,6,abajo_p01_s01_r006,1,abajo_p01_s01_r006_w01,abajo/participante_01_sesion_01_rep_006.csv,47,31.25,1.504,prueba
abajo,01,01,6,abajo_p01_s01_r006,2,abajo_p01_s01_r006_w02,abajo/participante_01_sesion_01_rep_006.csv,47,31.25,1.504,prueba
abajo,01,01,7,abajo_p01_s01_r007,0,abajo_p01_s01_r007_w00,abajo/participante_01_sesion_01_rep_007.csv,47,31.25,1.504,entrenamiento
abajo,01,01,7,abajo_p01_s01_r007,1,abajo_p01_s01_r007_w01,abajo/participante_01_sesion_01_rep_007.csv,47,31.25,1.504,entrenamiento
abajo,01,01,7,abajo_p01_s01_r007,2,abajo_p01_s01_r007_w02,abajo/participante_01_sesion_01_rep_007.csv,47,31.25,1.504,entrenamiento
abajo,01,01,8,abajo_p01_s01_r008,0,abajo_p01_s01_r008_w00,abajo/participante_01_sesion_01_rep_008.csv,46,30.76923076923077,1.495,entrenamiento
abajo,01,01,8,abajo_p01_s01_r008,1,abajo_p01_s01_r008_w01,abajo/participante_01_sesion_01_rep_008.csv,46,30.76923076923077,1.495,entrenamiento
abajo,01,01,8,abajo_p01_s01_r008,2,abajo_p01_s01_r008_w02,abajo/participante_01_sesion_01_rep_008.csv,46,30.76923076923077,1.495,entrenamiento
abajo,01,01,9,abajo_p01_s01_r009,0,abajo_p01_s01_r009_w00,abajo/participante_01_sesion_01_rep_009.csv,47,31.25,1.504,entrenamiento
abajo,01,01,9,abajo_p01_s01_r009,1,abajo_p01_s01_r009_w01,abajo/participante_01_sesion_01_rep_009.csv,47,31.25,1.504,entrenamiento
abajo,01,01,9,abajo_p01_s01_r009,2,abajo_p01_s01_r009_w02,abajo/participante_01_sesion_01_rep_009.csv,47,31.25,1.504,entrenamiento
abajo,01,01,10,abajo_p01_s01_r010,0,abajo_p01_s01_r010_w00,abajo/participante_01_sesion_01_rep_010.csv,47,31.25,1.504,prueba
abajo,01,01,10,abajo_p01_s01_r010,1,abajo_p01_s01_r010_w01,abajo/participante_01_sesion_01_rep_010.csv,47,31.25,1.504,prueba
abajo,01,01,10,abajo_p01_s01_r010,2,abajo_p01_s01_r010_w02,abajo/participante_01_sesion_01_rep_010.csv,47,31.25,1.504,prueba
abajo,01,01,11,abajo_p01_s01_r011,0,abajo_p01_s01_r011_w00,abajo/participante_01_sesion_01_rep_011.csv,47,31.25,1.504,entrenamiento
abajo,01,01,11,abajo_p01_s01_r011,1,abajo_p01_s01_r011_w01,abajo/participante_01_sesion_01_rep_011.csv,47,31.25,1.504,entrenamiento
abajo,01,01,11,abajo_p01_s01_r011,2,abajo_p01_s01_r011_w02,abajo/participante_01_sesion_01_rep_011.csv,47,31.25,1.504,entrenamiento
abajo,01,01,12,abajo_p01_s01_r012,0,abajo_p01_s01_r012_w00,abajo/participante_01_sesion_01_rep_012.csv,47,31.25,1.504,entrenamiento
abajo,01,01,12,abajo_p01_s01_r012,1,abajo_p01_s01_r012_w01,abajo/participante_01_sesion_01_rep_012.csv,47,31.25,1.504,entrenamiento
abajo,01,01,12,abajo_p01_s01_r012,2,abajo_p01_s01_r012_w02,abajo/participante_01_sesion_01_rep_012.csv,47,31.25,1.504,entrenamiento
abajo,01,01,13,abajo_p01_s01_r013,0,abajo_p01_s01_r013_w00,abajo/participante_01_sesion_01_rep_013.csv,47,31.25,1.504,entrenamiento
abajo,01,01,13,abajo_p01_s01_r013,1,abajo_p01_s01_r013_w01,abajo/participante_01_sesion_01_rep_013.csv,47,31.25,1.504,entrenamiento
abajo,01,01,13,abajo_p01_s01_r013,2,abajo_p01_s01_r013_w02,abajo/participante_01_sesion_01_rep_013.csv,47,31.25,1.504,entrenamiento
abajo,01,01,14,abajo_p01_s01_r014,0,abajo_p01_s01_r014_w00,abajo/participante_01_sesion_01_rep_014.csv,47,31.25,1.504,entrenamiento
abajo,01,01,14,abajo_p01_s01_r014,1,abajo_p01_s01_r014_w01,abajo/participante_01_sesion_01_rep_014.csv,47,31.25,1.504,entrenamiento
abajo,01,01,14,abajo_p01_s01_r014,2,abajo_p01_s01_r014_w02,abajo/participante_01_sesion_01_rep_014.csv,47,31.25,1.504,entrenamiento
abajo,01,01,15,abajo_p01_s01_r015,0,abajo_p01_s01_r015_w00,abajo/participante_01_sesion_01_rep_015.csv,47,31.25,1.504,entrenamiento
abajo,01,01,15,abajo_p01_s01_r015,1,abajo_p01_s01_r015_w01,abajo/participante_01_sesion_01_rep_015.csv,47,31.25,1.504,entrenamiento
abajo,01,01,15,abajo_p01_s01_r015,2,abajo_p01_s01_r015_w02,abajo/participante_01_sesion_01_rep_015.csv,47,31.25,1.504,entrenamiento
abajo,01,01,16,abajo_p01_s01_r016,0,abajo_p01_s01_r016_w00,abajo/participante_01_sesion_01_rep_016.csv,47,31.25,1.504,prueba
abajo,01,01,16,abajo_p01_s01_r016,1,abajo_p01_s01_r016_w01,abajo/participante_01_sesion_01_rep_016.csv,47,31.25,1.504,prueba
abajo,01,01,16,abajo_p01_s01_r016,2,abajo_p01_s01_r016_w02,abajo/participante_01_sesion_01_rep_016.csv,47,31.25,1.504,prueba
abajo,01,01,17,abajo_p01_s01_r017,0,abajo_p01_s01_r017_w00,abajo/participante_01_sesion_01_rep_017.csv,47,31.25,1.504,prueba
abajo,01,01,17,abajo_p01_s01_r017,1,abajo_p01_s01_r017_w01,abajo/participante_01_sesion_01_rep_017.csv,47,31.25,1.504,prueba
abajo,01,01,17,abajo_p01_s01_r017,2,abajo_p01_s01_r017_w02,abajo/participante_01_sesion_01_rep_017.csv,47,31.25,1.504,prueba
abajo,01,01,18,abajo_p01_s01_r018,0,abajo_p01_s01_r018_w00,abajo/participante_01_sesion_01_rep_018.csv,45,30.303030303030305,1.485,entrenamiento
abajo,01,01,18,abajo_p01_s01_r018,1,abajo_p01_s01_r018_w01,abajo/participante_01_sesion_01_rep_018.csv,45,30.303030303030305,1.485,entrenamiento
abajo,01,01,18,abajo_p01_s01_r018,2,abajo_p01_s01_r018_w02,abajo/participante_01_sesion_01_rep_018.csv,45,30.303030303030305,1.485,entrenamiento
abajo,01,01,19,abajo_p01_s01_r019,0,abajo_p01_s01_r019_w00,abajo/participante_01_sesion_01_rep_019.csv,47,31.25,1.504,prueba
abajo,01,01,19,abajo_p01_s01_r019,1,abajo_p01_s01_r019_w01,abajo/participante_01_sesion_01_rep_019.csv,47,31.25,1.504,prueba
abajo,01,01,19,abajo_p01_s01_r019,2,abajo_p01_s01_r019_w02,abajo/participante_01_sesion_01_rep_019.csv,47,31.25,1.504,prueba
abajo,01,01,20,abajo_p01_s01_r020,0,abajo_p01_s01_r020_w00,abajo/participante_01_sesion_01_rep_020.csv,47,31.25,1.504,prueba
abajo,01,01,20,abajo_p01_s01_r020,1,abajo_p01_s01_r020_w01,abajo/participante_01_sesion_01_rep_020.csv,47,31.25,1.504,prueba
abajo,01,01,20,abajo_p01_s01_r020,2,abajo_p01_s01_r020_w02,abajo/participante_01_sesion_01_rep_020.csv,47,31.25,1.504,prueba
abajo,01,01,21,abajo_p01_s01_r021,0,abajo_p01_s01_r021_w00,abajo/participante_01_sesion_01_rep_021.csv,47,31.25,1.504,entrenamiento
abajo,01,01,21,abajo_p01_s01_r021,1,abajo_p01_s01_r021_w01,abajo/participante_01_sesion_01_rep_021.csv,47,31.25,1.504,entrenamiento
abajo,01,01,21,abajo_p01_s01_r021,2,abajo_p01_s01_r021_w02,abajo/participante_01_sesion_01_rep_021.csv,47,31.25,1.504,entrenamiento
abajo,01,01,22,abajo_p01_s01_r022,0,abajo_p01_s01_r022_w00,abajo/participante_01_sesion_01_rep_022.csv,47,31.25,1.504,entrenamiento
abajo,01,01,22,abajo_p01_s01_r022,1,abajo_p01_s01_r022_w01,abajo/participante_01_sesion_01_rep_022.csv,47,31.25,1.504,entrenamiento
abajo,01,01,22,abajo_p01_s01_r022,2,abajo_p01_s01_r022_w02,abajo/participante_01_sesion_01_rep_022.csv,47,31.25,1.504,entrenamiento
abajo,01,01,23,abajo_p01_s01_r023,0,abajo_p01_s01_r023_w00,abajo/participante_01_sesion_01_rep_023.csv,47,31.25,1.504,entrenamiento
abajo,01,01,23,abajo_p01_s01_r023,1,abajo_p01_s01_r023_w01,abajo/participante_01_sesion_01_rep_023.csv,47,31.25,1.504,entrenamiento
abajo,01,01,23,abajo_p01_s01_r023,2,abajo_p01_s01_r023_w02,abajo/participante_01_sesion_01_rep_023.csv,47,31.25,1.504,entrenamiento
abajo,01,01,24,abajo_p01_s01_r024,0,abajo_p01_s01_r024_w00,abajo/participante_01_sesion_01_rep_024.csv,47,31.25,1.504,entrenamiento
abajo,01,01,24,abajo_p01_s01_r024,1,abajo_p01_s01_r024_w01,abajo/participante_01_sesion_01_rep_024.csv,47,31.25,1.504,entrenamiento
abajo,01,01,24,abajo_p01_s01_r024,2,abajo_p01_s01_r024_w02,abajo/participante_01_sesion_01_rep_024.csv,47,31.25,1.504,entrenamiento
abajo,01,01,25,abajo_p01_s01_r025,0,abajo_p01_s01_r025_w00,abajo/participante_01_sesion_01_rep_025.csv,47,31.25,1.504,prueba
abajo,01,01,25,abajo_p01_s01_r025,1,abajo_p01_s01_r025_w01,abajo/participante_01_sesion_01_rep_025.csv,47,31.25,1.504,prueba
abajo,01,01,25,abajo_p01_s01_r025,2,abajo_p01_s01_r025_w02,abajo/participante_01_sesion_01_rep_025.csv,47,31.25,1.504,prueba
abajo,01,01,26,abajo_p01_s01_r026,0,abajo_p01_s01_r026_w00,abajo/participante_01_sesion_01_rep_026.csv,47,31.25,1.504,entrenamiento
abajo,01,01,26,abajo_p01_s01_r026,1,abajo_p01_s01_r026_w01,abajo/participante_01_sesion_01_rep_026.csv,47,31.25,1.504,entrenamiento
abajo,01,01,26,abajo_p01_s01_r026,2,abajo_p01_s01_r026_w02,abajo/participante_01_sesion_01_rep_026.csv,47,31.25,1.504,entrenamiento
abajo,01,01,27,abajo_p01_s01_r027,0,abajo_p01_s01_r027_w00,abajo/participante_01_sesion_01_rep_027.csv,47,31.25,1.504,entrenamiento
abajo,01,01,27,abajo_p01_s01_r027,1,abajo_p01_s01_r027_w01,abajo/participante_01_sesion_01_rep_027.csv,47,31.25,1.504,entrenamiento
abajo,01,01,27,abajo_p01_s01_r027,2,abajo_p01_s01_r027_w02,abajo/participante_01_sesion_01_rep_027.csv,47,31.25,1.504,entrenamiento
abajo,01,01,28,abajo_p01_s01_r028,0,abajo_p01_s01_r028_w00,abajo/participante_01_sesion_01_rep_028.csv,47,31.25,1.504,entrenamiento
abajo,01,01,28,abajo_p01_s01_r028,1,abajo_p01_s01_r028_w01,abajo/participante_01_sesion_01_rep_028.csv,47,31.25,1.504,entrenamiento
abajo,01,01,28,abajo_p01_s01_r028,2,abajo_p01_s01_r028_w02,abajo/participante_01_sesion_01_rep_028.csv,47,31.25,1.504,entrenamiento
abajo,01,01,29,abajo_p01_s01_r029,0,abajo_p01_s01_r029_w00,abajo/participante_01_sesion_01_rep_029.csv,47,31.25,1.504,entrenamiento
abajo,01,01,29,abajo_p01_s01_r029,1,abajo_p01_s01_r029_w01,abajo/participante_01_sesion_01_rep_029.csv,47,31.25,1.504,entrenamiento
abajo,01,01,29,abajo_p01_s01_r029,2,abajo_p01_s01_r029_w02,abajo/participante_01_sesion_01_rep_029.csv,47,31.25,1.504,entrenamiento
abajo,01,01,30,abajo_p01_s01_r030,0,abajo_p01_s01_r030_w00,abajo/participante_01_sesion_01_rep_030.csv,47,31.25,1.504,prueba
abajo,01,01,30,abajo_p01_s01_r030,1,abajo_p01_s01_r030_w01,abajo/participante_01_sesion_01_rep_030.csv,47,31.25,1.504,prueba
abajo,01,01,30,abajo_p01_s01_r030,2,abajo_p01_s01_r030_w02,abajo/participante_01_sesion_01_rep_030.csv,47,31.25,1.504,prueba
abajo,01,01,31,abajo_p01_s01_r031,0,abajo_p01_s01_r031_w00,abajo/participante_01_sesion_01_rep_031.csv,47,31.25,1.504,prueba
abajo,01,01,31,abajo_p01_s01_r031,1,abajo_p01_s01_r031_w01,abajo/participante_01_sesion_01_rep_031.csv,47,31.25,1.504,prueba
abajo,01,01,31,abajo_p01_s01_r031,2,abajo_p01_s01_r031_w02,abajo/participante_01_sesion_01_rep_031.csv,47,31.25,1.504,prueba
abajo,01,01,32,abajo_p01_s01_r032,0,abajo_p01_s01_r032_w00,abajo/participante_01_sesion_01_rep_032.csv,47,31.25,1.504,entrenamiento
abajo,01,01,32,abajo_p01_s01_r032,1,abajo_p01_s01_r032_w01,abajo/participante_01_sesion_01_rep_032.csv,47,31.25,1.504,entrenamiento
abajo,01,01,32,abajo_p01_s01_r032,2,abajo_p01_s01_r032_w02,abajo/participante_01_sesion_01_rep_032.csv,47,31.25,1.504,entrenamiento
abajo,01,01,33,abajo_p01_s01_r033,0,abajo_p01_s01_r033_w00,abajo/participante_01_sesion_01_rep_033.csv,45,30.303030303030305,1.485,entrenamiento
abajo,01,01,33,abajo_p01_s01_r033,1,abajo_p01_s01_r033_w01,abajo/participante_01_sesion_01_rep_033.csv,45,30.303030303030305,1.485,entrenamiento
abajo,01,01,33,abajo_p01_s01_r033,2,abajo_p01_s01_r033_w02,abajo/participante_01_sesion_01_rep_033.csv,45,30.303030303030305,1.485,entrenamiento
abajo,01,01,34,abajo_p01_s01_r034,0,abajo_p01_s01_r034_w00,abajo/participante_01_sesion_01_rep_034.csv,47,31.25,1.504,entrenamiento
abajo,01,01,34,abajo_p01_s01_r034,1,abajo_p01_s01_r034_w01,abajo/participante_01_sesion_01_rep_034.csv,47,31.25,1.504,entrenamiento
abajo,01,01,34,abajo_p01_s01_r034,2,abajo_p01_s01_r034_w02,abajo/participante_01_sesion_01_rep_034.csv,47,31.25,1.504,entrenamiento
abajo,01,01,35,abajo_p01_s01_r035,0,abajo_p01_s01_r035_w00,abajo/participante_01_sesion_01_rep_035.csv,47,31.25,1.504,entrenamiento
abajo,01,01,35,abajo_p01_s01_r035,1,abajo_p01_s01_r035_w01,abajo/participante_01_sesion_01_rep_035.csv,47,31.25,1.504,entrenamiento
abajo,01,01,35,abajo_p01_s01_r035,2,abajo_p01_s01_r035_w02,abajo/participante_01_sesion_01_rep_035.csv,47,31.25,1.504,entrenamiento
abajo,01,01,36,abajo_p01_s01_r036,0,abajo_p01_s01_r036_w00,abajo/participante_01_sesion_01_rep_036.csv,47,31.25,1.504,entrenamiento
abajo,01,01,36,abajo_p01_s01_r036,1,abajo_p01_s01_r036_w01,abajo/participante_01_sesion_01_rep_036.csv,47,31.25,1.504,entrenamiento
abajo,01,01,36,abajo_p01_s01_r036,2,abajo_p01_s01_r036_w02,abajo/participante_01_sesion_01_rep_036.csv,47,31.25,1.504,entrenamiento
abajo,01,01,37,abajo_p01_s01_r037,0,abajo_p01_s01_r037_w00,abajo/participante_01_sesion_01_rep_037.csv,47,31.25,1.504,entrenamiento
abajo,01,01,37,abajo_p01_s01_r037,1,abajo_p01_s01_r037_w01,abajo/participante_01_sesion_01_rep_037.csv,47,31.25,1.504,entrenamiento
abajo,01,01,37,abajo_p01_s01_r037,2,abajo_p01_s01_r037_w02,abajo/participante_01_sesion_01_rep_037.csv,47,31.25,1.504,entrenamiento
abajo,01,01,38,abajo_p01_s01_r038,0,abajo_p01_s01_r038_w00,abajo/participante_01_sesion_01_rep_038.csv,47,31.25,1.504,entrenamiento
abajo,01,01,38,abajo_p01_s01_r038,1,abajo_p01_s01_r038_w01,abajo/participante_01_sesion_01_rep_038.csv,47,31.25,1.504,entrenamiento
abajo,01,01,38,abajo_p01_s01_r038,2,abajo_p01_s01_r038_w02,abajo/participante_01_sesion_01_rep_038.csv,47,31.25,1.504,entrenamiento
abajo,01,01,39,abajo_p01_s01_r039,0,abajo_p01_s01_r039_w00,abajo/participante_01_sesion_01_rep_039.csv,47,31.25,1.504,prueba
abajo,01,01,39,abajo_p01_s01_r039,1,abajo_p01_s01_r039_w01,abajo/participante_01_sesion_01_rep_039.csv,47,31.25,1.504,prueba
abajo,01,01,39,abajo_p01_s01_r039,2,abajo_p01_s01_r039_w02,abajo/participante_01_sesion_01_rep_039.csv,47,31.25,1.504,prueba
abajo,01,01,40,abajo_p01_s01_r040,0,abajo_p01_s01_r040_w00,abajo/participante_01_sesion_01_rep_040.csv,47,31.25,1.504,entrenamiento
abajo,01,01,40,abajo_p01_s01_r040,1,abajo_p01_s01_r040_w01,abajo/participante_01_sesion_01_rep_040.csv,47,31.25,1.504,entrenamiento
abajo,01,01,40,abajo_p01_s01_r040,2,abajo_p01_s01_r040_w02,abajo/participante_01_sesion_01_rep_040.csv,47,31.25,1.504,entrenamiento
arriba,01,01,1,arriba_p01_s01_r001,0,arriba_p01_s01_r001_w00,arriba/participante_01_sesion_01_rep_001.csv,47,31.25,1.504,entrenamiento
arriba,01,01,1,arriba_p01_s01_r001,1,arriba_p01_s01_r001_w01,arriba/participante_01_sesion_01_rep_001.csv,47,31.25,1.504,entrenamiento
arriba,01,01,1,arriba_p01_s01_r001,2,arriba_p01_s01_r001_w02,arriba/participante_01_sesion_01_rep_001.csv,47,31.25,1.504,entrenamiento
arriba,01,01,2,arriba_p01_s01_r002,0,arriba_p01_s01_r002_w00,arriba/participante_01_sesion_01_rep_002.csv,47,31.25,1.504,entrenamiento
arriba,01,01,2,arriba_p01_s01_r002,1,arriba_p01_s01_r002_w01,arriba/participante_01_sesion_01_rep_002.csv,47,31.25,1.504,entrenamiento
arriba,01,01,2,arriba_p01_s01_r002,2,arriba_p01_s01_r002_w02,arriba/participante_01_sesion_01_rep_002.csv,47,31.25,1.504,entrenamiento
arriba,01,01,3,arriba_p01_s01_r003,0,arriba_p01_s01_r003_w00,arriba/participante_01_sesion_01_rep_003.csv,47,31.25,1.504,entrenamiento
arriba,01,01,3,arriba_p01_s01_r003,1,arriba_p01_s01_r003_w01,arriba/participante_01_sesion_01_rep_003.csv,47,31.25,1.504,entrenamiento
arriba,01,01,3,arriba_p01_s01_r003,2,arriba_p01_s01_r003_w02,arriba/participante_01_sesion_01_rep_003.csv,47,31.25,1.504,entrenamiento
arriba,01,01,4,arriba_p01_s01_r004,0,arriba_p01_s01_r004_w00,arriba/participante_01_sesion_01_rep_004.csv,47,31.25,1.504,entrenamiento
arriba,01,01,4,arriba_p01_s01_r004,1,arriba_p01_s01_r004_w01,arriba/participante_01_sesion_01_rep_004.csv,47,31.25,1.504,entrenamiento
arriba,01,01,4,arriba_p01_s01_r004,2,arriba_p01_s01_r004_w02,arriba/participante_01_sesion_01_rep_004.csv,47,31.25,1.504,entrenamiento
arriba,01,01,5,arriba_p01_s01_r005,0,arriba_p01_s01_r005_w00,arriba/participante_01_sesion_01_rep_005.csv,47,31.25,1.504,entrenamiento
arriba,01,01,5,arriba_p01_s01_r005,1,arriba_p01_s01_r005_w01,arriba/participante_01_sesion_01_rep_005.csv,47,31.25,1.504,entrenamiento
arriba,01,01,5,arriba_p01_s01_r005,2,arriba_p01_s01_r005_w02,arriba/participante_01_sesion_01_rep_005.csv,47,31.25,1.504,entrenamiento
arriba,01,01,6,arriba_p01_s01_r006,0,arriba_p01_s01_r006_w00,arriba/participante_01_sesion_01_rep_006.csv,47,31.25,1.504,prueba
arriba,01,01,6,arriba_p01_s01_r006,1,arriba_p01_s01_r006_w01,arriba/participante_01_sesion_01_rep_006.csv,47,31.25,1.504,prueba
arriba,01,01,6,arriba_p01_s01_r006,2,arriba_p01_s01_r006_w02,arriba/participante_01_sesion_01_rep_006.csv,47,31.25,1.504,prueba
arriba,01,01,7,arriba_p01_s01_r007,0,arriba_p01_s01_r007_w00,arriba/participante_01_sesion_01_rep_007.csv,47,31.25,1.504,entrenamiento
arriba,01,01,7,arriba_p01_s01_r007,1,arriba_p01_s01_r007_w01,arriba/participante_01_sesion_01_rep_007.csv,47,31.25,1.504,entrenamiento
arriba,01,01,7,arriba_p01_s01_r007,2,arriba_p01_s01_r007_w02,arriba/participante_01_sesion_01_rep_007.csv,47,31.25,1.504,entrenamiento
arriba,01,01,8,arriba_p01_s01_r008,0,arriba_p01_s01_r008_w00,arriba/participante_01_sesion_01_rep_008.csv,47,31.25,1.504,entrenamiento
arriba,01,01,8,arriba_p01_s01_r008,1,arriba_p01_s01_r008_w01,arriba/participante_01_sesion_01_rep_008.csv,47,31.25,1.504,entrenamiento
arriba,01,01,8,arriba_p01_s01_r008,2,arriba_p01_s01_r008_w02,arriba/participante_01_sesion_01_rep_008.csv,47,31.25,1.504,entrenamiento
arriba,01,01,9,arriba_p01_s01_r009,0,arriba_p01_s01_r009_w00,arriba/participante_01_sesion_01_rep_009.csv,47,31.25,1.504,entrenamiento
arriba,01,01,9,arriba_p01_s01_r009,1,arriba_p01_s01_r009_w01,arriba/participante_01_sesion_01_rep_009.csv,47,31.25,1.504,entrenamiento
arriba,01,01,9,arriba_p01_s01_r009,2,arriba_p01_s01_r009_w02,arriba/participante_01_sesion_01_rep_009.csv,47,31.25,1.504,entrenamiento
arriba,01,01,10,arriba_p01_s01_r010,0,arriba_p01_s01_r010_w00,arriba/participante_01_sesion_01_rep_010.csv,47,31.25,1.504,entrenamiento
arriba,01,01,10,arriba_p01_s01_r010,1,arriba_p01_s01_r010_w01,arriba/participante_01_sesion_01_rep_010.csv,47,31.25,1.504,entrenamiento
arriba,01,01,10,arriba_p01_s01_r010,2,arriba_p01_s01_r010_w02,arriba/participante_01_sesion_01_rep_010.csv,47,31.25,1.504,entrenamiento
arriba,01,01,11,arriba_p01_s01_r011,0,arriba_p01_s01_r011_w00,arriba/participante_01_sesion_01_rep_011.csv,47,31.25,1.504,entrenamiento
arriba,01,01,11,arriba_p01_s01_r011,1,arriba_p01_s01_r011_w01,arriba/participante_01_sesion_01_rep_011.csv,47,31.25,1.504,entrenamiento
arriba,01,01,11,arriba_p01_s01_r011,2,arriba_p01_s01_r011_w02,arriba/participante_01_sesion_01_rep_011.csv,47,31.25,1.504,entrenamiento
arriba,01,01,12,arriba_p01_s01_r012,0,arriba_p01_s01_r012_w00,arriba/participante_01_sesion_01_rep_012.csv,47,31.25,1.504,entrenamiento
arriba,01,01,12,arriba_p01_s01_r012,1,arriba_p01_s01_r012_w01,arriba/participante_01_sesion_01_rep_012.csv,47,31.25,1.504,entrenamiento
arriba,01,01,12,arriba_p01_s01_r012,2,arriba_p01_s01_r012_w02,arriba/participante_01_sesion_01_rep_012.csv,47,31.25,1.504,entrenamiento
arriba,01,01,13,arriba_p01_s01_r013,0,arriba_p01_s01_r013_w00,arriba/participante_01_sesion_01_rep_013.csv,47,31.25,1.504,entrenamiento
arriba,01,01,13,arriba_p01_s01_r013,1,arriba_p01_s01_r013_w01,arriba/participante_01_sesion_01_rep_013.csv,47,31.25,1.504,entrenamiento
arriba,01,01,13,arriba_p01_s01_r013,2,arriba_p01_s01_r013_w02,arriba/participante_01_sesion_01_rep_013.csv,47,31.25,1.504,entrenamiento
arriba,01,01,14,arriba_p01_s01_r014,0,arriba_p01_s01_r014_w00,arriba/participante_01_sesion_01_rep_014.csv,47,31.25,1.504,entrenamiento
arriba,01,01,14,arriba_p01_s01_r014,1,arriba_p01_s01_r014_w01,arriba/participante_01_sesion_01_rep_014.csv,47,31.25,1.504,entrenamiento
arriba,01,01,14,arriba_p01_s01_r014,2,arriba_p01_s01_r014_w02,arriba/participante_01_sesion_01_rep_014.csv,47,31.25,1.504,entrenamiento
arriba,01,01,15,arriba_p01_s01_r015,0,arriba_p01_s01_r015_w00,arriba/participante_01_sesion_01_rep_015.csv,47,31.25,1.504,entrenamiento
arriba,01,01,15,arriba_p01_s01_r015,1,arriba_p01_s01_r015_w01,arriba/participante_01_sesion_01_rep_015.csv,47,31.25,1.504,entrenamiento
arriba,01,01,15,arriba_p01_s01_r015,2,arriba_p01_s01_r015_w02,arriba/participante_01_sesion_01_rep_015.csv,47,31.25,1.504,entrenamiento
arriba,01,01,16,arriba_p01_s01_r016,0,arriba_p01_s01_r016_w00,arriba/participante_01_sesion_01_rep_016.csv,47,31.25,1.504,prueba
arriba,01,01,16,arriba_p01_s01_r016,1,arriba_p01_s01_r016_w01,arriba/participante_01_sesion_01_rep_016.csv,47,31.25,1.504,prueba
arriba,01,01,16,arriba_p01_s01_r016,2,arriba_p01_s01_r016_w02,arriba/participante_01_sesion_01_rep_016.csv,47,31.25,1.504,prueba
arriba,01,01,17,arriba_p01_s01_r017,0,arriba_p01_s01_r017_w00,arriba/participante_01_sesion_01_rep_017.csv,47,31.25,1.504,prueba
arriba,01,01,17,arriba_p01_s01_r017,1,arriba_p01_s01_r017_w01,arriba/participante_01_sesion_01_rep_017.csv,47,31.25,1.504,prueba
arriba,01,01,17,arriba_p01_s01_r017,2,arriba_p01_s01_r017_w02,arriba/participante_01_sesion_01_rep_017.csv,47,31.25,1.504,prueba
